eventType,event_type,action,change_type,object_category,object_attrs
app.generic.unauth_app_access_attempt,okta_event_authentication,failure,,,
app.oauth2.as.authorize,okta_event_authentication,failure,,,
app.oauth2.as.authorize.code,okta_event_authentication,sucess,,,
app.oauth2.as.authorize.implicit,okta_event_authentication,success,,,
app.oauth2.as.key.rollover,okta_event_change_app,modified,AAA,AuthorizationServer,Status
app.oauth2.as.token.grant.access_token,okta_event_authentication,success,,,
app.oauth2.authorize,okta_event_authentication,failure,,,
app.oauth2.authorize.code,okta_event_authentication,success,,,
app.oauth2.authorize.implicit,okta_event_authentication,success,,,
app.oauth2.token.grant.access_token,okta_event_authentication,success,,,
app.oauth2.token.grant.id_token,okta_event_authentication,success,,,
app.oauth2.token.grant.refresh_token,okta_event_authentication,success,,,
app.oauth2.token.revoke.implicit,okta_event_authentication,success,,,
app.realtimesync.import.details.update_user,okta_event_change_account,modified,AAA,User,UserProfile
app.user_management,okta_event_change_account,deleted,AAA,AppGroup,User
application.configuration.enable_delauth_outbound,okta_event_change_app,modified,,,
application.configuration.reset_logo,okta_event_change_app,modified,filesystem,AppInstance,ApplicationLogo
application.configuration.update_logo,okta_event_change_app,modified,filesystem,AppInstance,ApplicationLogo
application.lifecycle.activate,okta_event_change_app,modified,,,
application.lifecycle.create,okta_event_change_app,created,,,
application.lifecycle.deactivate,okta_event_change_app,modified,filesystem,AppInstance,Status
application.lifecycle.delete,okta_event_change_app,deleted,,,
application.lifecycle.update,okta_event_change_app,modified,filesystem,AppInstance,Status
application.policy.sign_on.deny_access,okta_event_authentication,failure,,,
application.policy.sign_on.rule.create,okta_event_change_app,created,AAA,AppInstance,PolicyRule
application.policy.sign_on.rule.delete,okta_event_change_app,deleted,,,
application.policy.sign_on.update,okta_event_change_app,modified,AAA,AppInstance,PolicyEntity
application.provision.integration.call_api,okta_event_authentication,failure,,,
application.provision.user.deactivate,okta_event_change_account,modified,AAA,User,ApplicationProfile
application.provision.user.deprovision,okta_event_change_account,modified,AAA,AppUser,ApplicationProfile
application.provision.user.push,okta_event_change_account,modified,AAA,User,ApplicationProfile
application.provision.user.push_profile,okta_event_change_account,modified,AAA,AppUser,ApplicationProfile
application.provision.user.reactivate,okta_event_change_account,modified,AAA,AppUser,ApplicationProfile
application.provision.user.sync,okta_event_change_account,modified,AAA,User,UserApplication
application.provision.user.verify_exists,okta_event_change_account,read,,,
application.user_membership.add,okta_event_change_account,modified,AAA,User,ApplicationMembership
application.user_membership.change_password,okta_event_change_app,modified,,,
application.user_membership.change_username,okta_event_change_app,modified,AAA,User,Username
application.user_membership.remove,okta_event_change_account,modified,AAA,User,ApplicationMembership
application.user_membership.restore,okta_event_change_app,modified,AAA,User,ApplicationMembership
application.user_membership.restore_password,okta_event_change_account,modified,AAA,User,ApplicationMembership
application.user_membership.show_password,okta_event_change_account,modified,,,
application.user_membership.update,okta_event_change_account,modified,AAA,User,ApplicationMembership
directory.app_user_profile.bootstrap,okta_event_change_app,modified,AAA,AppInstance,ApplicationProfile
directory.app_user_profile.update,okta_event_change_account,modified,,,
directory.mapping.update,okta_event_change_app,modified,filesystem,ProfileMapping,DirectoryMapping
directory.user_profile.update,okta_event_change_app,modified,,,
group.application_assignment.add,okta_event_change_app,modified,filesystem,UserGroup,Application
group.application_assignment.remove,okta_event_change_app,modified,filesystem,UserGroup,Application
group.application_assignment.update,okta_event_change_app,modified,,,
group.lifecycle.create,okta_event_change_group,created,filesystem,UserGroup,Status
group.user_membership.add,okta_event_change_account,modified,AAA,UserGroup,User
group.user_membership.remove,okta_event_change_account,modified,AAA,UserGroup,User
group.user_membership.rule.trigger,okta_event_change_account,modified,,,
oauth2.as.created,okta_event_change_app,modified,,,
oauth2.as.updated,okta_event_change_app,modified,,,
oauth2.claim.created,okta_event_change_app,modified,,,
oauth2.claim.deleted,okta_event_change_app,modified,,,
oauth2.scope.created,okta_event_change_app,modified,,,
policy.evaluate_sign_on,okta_event_authentication,success,,,
